,X,detectionID,surveyID,species,d1,d2,d3,d4,Year
17168,16378,17230,1436,BAWW,55,55,-50,-50,2018
17198,9220,9302,851,BLJA,-50,55,-50,-50,2016
17203,13896,13984,1221,TUTI,85,55,-50,-50,2017
17210,14831,14921,1334,BAWW,65,55,-50,-50,2018
17239,10094,10177,852,OVEN,55,55,-50,-50,2016
17259,16321,17172,1431,TUTI,55,55,-50,-50,2018
17270,18515,18613,1620,OVEN,55,55,-50,-50,2019
17271,18602,18700,1627,BTNW,55,55,-50,-50,2019
17277,21000,21123,1832,BAWW,55,55,-50,-50,2020
17280,18076,18173,1605,OVEN,45,55,-50,-50,2019
17284,12311,12396,1110,HOWA,25,55,-50,-50,2017
17301,8055,8132,758,OVEN,-50,55,-50,-50,2016
17303,8279,8357,781,OVEN,-50,55,-50,-50,2016
17307,10184,10267,936,OVEN,-50,55,-50,-50,2016
17317,13877,13965,1214,OVEN,-50,55,-50,-50,2017
17338,20485,20595,1803,OVEN,-50,55,-50,-50,2020
17421,6311,6375,602,BAWW,45,45,-50,-50,2016
17446,10183,10266,936,HOWA,45,45,-50,-50,2016
17455,12193,12278,1073,BAWW,45,45,-50,-50,2017
17456,12251,12336,1104,BTNW,45,45,-50,-50,2017
17470,18073,18170,1605,BAWW,45,45,-50,-50,2019
17471,18080,18177,1606,TUTI,45,45,-50,-50,2019
17476,19964,20065,1667,OVEN,45,45,-50,-50,2019
17494,21860,21985,1907,BTNW,25,45,-50,-50,2020
17499,15809,15900,1422,BAWW,25,45,-50,-50,2018
17518,6382,6446,606,BAWW,-50,45,-50,-50,2016
17531,8019,8095,755,OVEN,-50,45,-50,-50,2016
17549,13359,13447,1198,OVEN,-50,45,-50,-50,2017
17642,15476,15566,1370,BAWW,-50,45,-50,-50,2018
17647,8039,8116,757,BTNW,65,45,-50,-50,2016
17657,21859,21984,1907,HOWA,45,45,-50,-50,2020
17698,13256,13344,1187,OVEN,45,45,-50,-50,2017
17704,13878,13966,1214,TUTI,45,45,-50,-50,2017
17731,15496,15586,1390,BAWW,35,45,-50,-50,2018
17765,8810,8892,789,BLJA,-50,45,-50,-50,2016
17791,16338,17189,1432,TUTI,-50,45,-50,-50,2018
17847,8946,9028,833,OVEN,-50,45,-50,-50,2016
17859,9208,9290,851,BAWW,45,45,-50,-50,2016
17865,9082,9164,841,TUTI,-50,45,-50,-50,2016
17879,11722,11806,1053,TUTI,45,45,-50,-50,2017
17886,17921,18018,1546,BTNW,55,35,-50,-50,2019
17893,20493,20603,1803,OVEN,45,35,-50,-50,2020
17930,9154,9236,844,HOWA,35,35,-50,-50,2016
17947,12326,12411,1112,BAWW,35,35,-50,-50,2017
17952,13136,13224,1117,OVEN,35,35,-50,-50,2017
17954,13172,13260,1178,BAWW,35,35,-50,-50,2017
17979,20224,20329,1685,OVEN,35,35,-50,-50,2019
18016,8260,8338,779,OVEN,-50,35,-50,-50,2016
18017,8293,8372,783,HOWA,-50,35,-50,-50,2016
18034,12266,12351,1107,BLJA,-50,35,-50,-50,2017
18051,20140,20244,1682,BAWW,-50,35,-50,-50,2019
18052,20157,20261,1682,TUTI,-50,35,-50,-50,2019
18079,8244,8322,780,OVEN,35,35,-50,-50,2016
18080,8259,8337,779,BAWW,35,35,-50,-50,2016
18081,8976,9058,835,OVEN,35,35,-50,-50,2016
18088,8099,8176,763,TUTI,-50,35,-50,-50,2016
18116,20680,20797,1815,HOWA,-50,35,-50,-50,2020
18122,9199,9281,850,OVEN,45,35,-50,-50,2016
18135,9093,9175,841,BAWW,-50,35,-50,-50,2016
18145,10304,10387,942,BTNW,75,35,-50,-50,2016
18146,13123,13211,1115,BAWW,75,35,-50,-50,2017
18147,18668,18766,1654,BAWW,65,35,-50,-50,2019
18168,8221,8298,776,BAWW,35,35,-50,-50,2016
18183,13118,13206,1114,HOWA,35,35,-50,-50,2017
18189,13982,14070,1245,BLJA,35,35,-50,-50,2017
18201,18102,18199,1607,OVEN,35,35,-50,-50,2019
18207,19990,20091,1676,BAWW,35,35,-50,-50,2019
18208,20283,20389,1800,TUTI,35,35,-50,-50,2020
18216,9161,9243,844,HOWA,25,35,-50,-50,2016
18247,10299,10382,942,BAWW,-50,35,-50,-50,2016
18251,12296,12381,1109,OVEN,-50,35,-50,-50,2017
18284,21118,21241,1836,OVEN,-50,35,-50,-50,2020
18293,12178,12263,1069,OVEN,65,35,-50,-50,2017
18298,14926,15016,1351,HOWA,35,35,-50,-50,2018
18306,21190,21313,1852,HOWA,-50,35,-50,-50,2020
18312,8034,8110,757,BTNW,35,35,-50,-50,2016
18323,9213,9295,851,BLJA,-50,35,-50,-50,2016
18325,14876,14966,1347,TUTI,-50,35,-50,-50,2018
18338,14823,14913,1333,BTNW,35,35,-50,-50,2018
18348,8214,8291,777,BAWW,-50,35,-50,-50,2016
18351,10574,10657,947,HOWA,-50,35,-50,-50,2016
18355,14883,14973,1347,TUTI,-50,35,-50,-50,2018
18418,13465,13553,1201,OVEN,25,25,-50,-50,2017
18440,20141,20245,1682,OVEN,25,25,-50,-50,2019
18494,13323,13411,1194,OVEN,-50,25,-50,-50,2017
18519,19986,20087,1674,HOWA,-50,25,-50,-50,2019
18530,21360,21483,1867,TUTI,-50,25,-50,-50,2020
18545,9153,9235,844,BAWW,25,25,-50,-50,2016
18550,14829,14919,1333,BTNW,25,25,-50,-50,2018
18555,15772,15863,1420,TUTI,25,25,-50,-50,2018
18565,12307,12392,1110,OVEN,-50,25,-50,-50,2017
18568,14886,14976,1347,OVEN,-50,25,-50,-50,2018
18579,20512,20622,1805,BTNW,-50,25,-50,-50,2020
18589,8198,8275,773,BTNW,25,25,-50,-50,2016
18590,14937,15027,1352,OVEN,25,25,-50,-50,2018
18595,15401,15491,1354,BLJA,-50,25,-50,-50,2018
18599,20479,20589,1802,BAWW,-50,25,-50,-50,2020
18616,10122,10205,854,BTNW,45,25,-50,-50,2016
18641,6291,6355,601,BAWW,25,25,-50,-50,2016
18645,8247,8325,779,BAWW,25,25,-50,-50,2016
18653,11541,11625,1051,HOWA,25,25,-50,-50,2017
18687,6350,6414,604,TUTI,15,25,-50,-50,2016
18690,8995,9077,836,BAWW,15,25,-50,-50,2016
18693,20951,21074,1828,OVEN,15,25,-50,-50,2020
18752,21386,21509,1870,OVEN,-50,25,-50,-50,2020
18773,15862,15954,1426,HOWA,25,25,-50,-50,2018
18778,8288,8367,781,OVEN,15,25,-50,-50,2016
18780,21180,21303,1852,OVEN,-50,25,-50,-50,2020
18781,21182,21305,1852,OVEN,-50,25,-50,-50,2020
18796,10306,10389,942,BAWW,-50,25,-50,-50,2016
18797,10393,10476,944,OVEN,-50,25,-50,-50,2016
18820,18626,18724,1630,OVEN,45,15,-50,-50,2019
18859,14833,14923,1335,OVEN,15,15,-50,-50,2018
18861,15470,15560,1370,BAWW,15,15,-50,-50,2018
18873,20492,20602,1803,OVEN,15,15,-50,-50,2020
18880,8972,9054,835,TUTI,15,15,-50,-50,2016
18891,8868,8950,798,BAWW,-50,15,-50,-50,2016
18935,20949,21072,1828,HOWA,-50,15,-50,-50,2020
18959,13182,13270,1180,HOWA,25,15,-50,-50,2017
18961,8923,9005,830,BAWW,25,15,-50,-50,2016
18997,9202,9284,848,TUTI,15,15,-50,-50,2016
19020,21119,21242,1844,TUTI,35,15,-50,-50,2020
19021,20227,20332,1685,BAWW,25,15,-50,-50,2019
19027,20211,20316,1684,HOWA,15,15,-50,-50,2019
19044,13950,14038,1243,BAWW,15,15,-50,-50,2017
19093,21371,21494,1867,HOWA,-50,15,-50,-50,2020
19098,14887,14977,1347,BTNW,25,15,-50,-50,2018
19122,6332,6396,604,OVEN,-50,15,-50,-50,2016
19173,8314,8393,785,OVEN,-50,5,-50,-50,2016
19230,20514,20624,1803,OVEN,15,5,-50,-50,2020
19249,20706,20825,1823,HOWA,-50,5,-50,-50,2020
19316,13627,13715,1212,OVEN,95,-50,-50,-50,2017
19347,12253,12338,1104,OVEN,95,-50,-50,-50,2017
19358,14764,14853,1264,BTNW,95,-50,-50,-50,2017
19391,16370,17221,1435,BLJA,95,-50,-50,-50,2018
19450,7842,7918,742,TUTI,85,-50,-50,-50,2016
19465,12330,12415,1112,TUTI,85,-50,-50,-50,2017
19517,15900,15992,1429,HOWA,85,-50,-50,-50,2018
19533,8040,8117,758,OVEN,85,-50,-50,-50,2016
19554,13316,13404,1194,TUTI,85,-50,-50,-50,2017
19559,13598,13686,1211,BLJA,85,-50,-50,-50,2017
19585,18371,18469,1617,OVEN,85,-50,-50,-50,2019
19595,20555,20665,1807,TUTI,85,-50,-50,-50,2020
19613,15839,15931,1424,BAWW,85,-50,-50,-50,2018
19614,15888,15980,1428,OVEN,85,-50,-50,-50,2018
19617,11726,11810,1053,HOWA,85,-50,-50,-50,2017
19639,6326,6390,603,OVEN,75,-50,-50,-50,2016
19665,7651,7727,725,TUTI,75,-50,-50,-50,2016
19668,8292,8371,783,OVEN,75,-50,-50,-50,2016
19688,10386,10469,944,OVEN,75,-50,-50,-50,2016
19706,13482,13570,1203,HOWA,75,-50,-50,-50,2017
19733,20988,21111,1832,OVEN,75,-50,-50,-50,2020
19754,8154,8231,768,HOWA,75,-50,-50,-50,2016
19808,11500,11584,970,OVEN,75,-50,-50,-50,2016
19828,13897,13985,1221,OVEN,75,-50,-50,-50,2017
19829,14065,14154,1246,OVEN,75,-50,-50,-50,2017
19859,20553,20663,1807,TUTI,75,-50,-50,-50,2020
19911,6322,6386,602,OVEN,65,-50,-50,-50,2016
19957,10286,10369,942,TUTI,65,-50,-50,-50,2016
19972,13527,13615,1204,BAWW,65,-50,-50,-50,2017
19987,18085,18182,1606,BLJA,65,-50,-50,-50,2019
20009,20984,21107,1830,OVEN,65,-50,-50,-50,2020
20012,21858,21983,1907,BTNW,65,-50,-50,-50,2020
20023,11759,11843,1055,BTNW,65,-50,-50,-50,2017
20034,20482,20592,1802,OVEN,65,-50,-50,-50,2020
20073,8150,8227,768,OVEN,65,-50,-50,-50,2016
20076,8422,8501,787,OVEN,65,-50,-50,-50,2016
20098,13457,13545,1201,BAWW,65,-50,-50,-50,2017
20114,15872,15964,1427,BTNW,65,-50,-50,-50,2018
20117,16381,17233,1436,HOWA,65,-50,-50,-50,2018
20124,18104,18201,1607,TUTI,65,-50,-50,-50,2019
20142,19959,20060,1667,BLJA,65,-50,-50,-50,2019
20164,8944,9026,833,BAWW,65,-50,-50,-50,2016
20171,20542,20652,1806,TUTI,65,-50,-50,-50,2020
20172,20543,20653,1806,TUTI,65,-50,-50,-50,2020
20250,7650,7726,725,TUTI,55,-50,-50,-50,2016
20260,8806,8888,789,OVEN,55,-50,-50,-50,2016
20261,8859,8941,797,OVEN,55,-50,-50,-50,2016
20283,11511,11595,1049,BAWW,55,-50,-50,-50,2017
20286,12181,12266,1069,BLJA,55,-50,-50,-50,2017
20311,17903,18000,1545,OVEN,55,-50,-50,-50,2019
20340,7927,8003,749,OVEN,55,-50,-50,-50,2016
20384,8857,8939,797,BTNW,55,-50,-50,-50,2016
20401,13112,13200,1113,HOWA,55,-50,-50,-50,2017
20461,14872,14962,1346,BLJA,55,-50,-50,-50,2018
20462,14892,14982,1348,BLJA,55,-50,-50,-50,2018
20468,20506,20616,1805,OVEN,55,-50,-50,-50,2020
20504,15743,15833,1398,BAWW,55,-50,-50,-50,2018
20555,7641,7717,724,BTNW,45,-50,-50,-50,2016
20587,13173,13261,1178,BAWW,45,-50,-50,-50,2017
20618,20929,21052,1824,HOWA,45,-50,-50,-50,2020
20650,16408,17260,1438,BTNW,45,-50,-50,-50,2018
20667,8125,8202,766,BAWW,45,-50,-50,-50,2016
20689,21215,21338,1853,TUTI,45,-50,-50,-50,2020
20723,8855,8937,797,OVEN,45,-50,-50,-50,2016
20726,8959,9041,832,BLJA,45,-50,-50,-50,2016
20727,9191,9273,850,BLJA,45,-50,-50,-50,2016
20741,11713,11797,1053,OVEN,45,-50,-50,-50,2017
20749,12281,12366,1108,OVEN,45,-50,-50,-50,2017
20759,13892,13980,1215,BLJA,45,-50,-50,-50,2017
20766,15438,15528,1356,TUTI,45,-50,-50,-50,2018
20780,17987,18084,1548,BAWW,45,-50,-50,-50,2019
20786,18382,18480,1618,BTNW,45,-50,-50,-50,2019
20816,20994,21117,1832,OVEN,45,-50,-50,-50,2020
20818,21196,21319,1853,HOWA,45,-50,-50,-50,2020
20927,8858,8940,797,OVEN,35,-50,-50,-50,2016
20928,8971,9053,835,BLJA,35,-50,-50,-50,2016
20940,11556,11640,1052,BAWW,35,-50,-50,-50,2017
20944,12154,12239,1056,OVEN,35,-50,-50,-50,2017
20945,12157,12242,1056,OVEN,35,-50,-50,-50,2017
20952,14919,15009,1350,HOWA,35,-50,-50,-50,2018
20973,18637,18735,1631,OVEN,35,-50,-50,-50,2019
20988,20288,20394,1800,OVEN,35,-50,-50,-50,2020
20994,20515,20625,1805,BAWW,35,-50,-50,-50,2020
21002,21146,21269,1849,OVEN,35,-50,-50,-50,2020
21007,21801,21926,1905,BAWW,35,-50,-50,-50,2020
21009,21803,21928,1905,TUTI,35,-50,-50,-50,2020
21017,11754,11838,1055,OVEN,35,-50,-50,-50,2017
21037,14835,14925,1335,BLJA,35,-50,-50,-50,2018
21048,20658,20773,1814,BAWW,35,-50,-50,-50,2020
21065,20075,20176,1679,OVEN,35,-50,-50,-50,2019
21109,6339,6403,604,OVEN,35,-50,-50,-50,2016
21141,14856,14946,1346,BTNW,35,-50,-50,-50,2018
21222,15857,15949,1426,OVEN,35,-50,-50,-50,2018
21241,20545,20655,1806,HOWA,35,-50,-50,-50,2020
21242,20548,20658,1807,HOWA,35,-50,-50,-50,2020
21255,8877,8959,798,HOWA,35,-50,-50,-50,2016
21333,9004,9086,838,OVEN,25,-50,-50,-50,2016
21341,10115,10198,853,TUTI,25,-50,-50,-50,2016
21356,13983,14071,1245,BLJA,25,-50,-50,-50,2017
21394,20446,20556,1801,BTNW,25,-50,-50,-50,2020
21409,7865,7941,743,BAWW,25,-50,-50,-50,2016
21413,15864,15956,1426,TUTI,25,-50,-50,-50,2018
21428,11753,11837,1055,BAWW,25,-50,-50,-50,2017
21435,15149,15239,1353,OVEN,25,-50,-50,-50,2018
21439,16323,17174,1431,HOWA,25,-50,-50,-50,2018
21537,13150,13238,1175,BAWW,25,-50,-50,-50,2017
21538,13181,13269,1180,OVEN,25,-50,-50,-50,2017
21540,13324,13412,1194,HOWA,25,-50,-50,-50,2017
21545,14884,14974,1347,BAWW,25,-50,-50,-50,2018
21587,20541,20651,1806,BTNW,25,-50,-50,-50,2020
21588,20547,20657,1807,BAWW,25,-50,-50,-50,2020
21595,21126,21249,1844,BTNW,25,-50,-50,-50,2020
21598,21361,21484,1867,BTNW,25,-50,-50,-50,2020
21621,8411,8490,786,BAWW,25,-50,-50,-50,2016
21623,9146,9228,844,OVEN,25,-50,-50,-50,2016
21628,14871,14961,1346,BAWW,25,-50,-50,-50,2018
21634,20475,20585,1802,OVEN,25,-50,-50,-50,2020
21635,20716,20835,1823,BTNW,25,-50,-50,-50,2020
21668,20519,20629,1805,OVEN,25,-50,-50,-50,2020
21682,20677,20794,1815,BTNW,25,-50,-50,-50,2020
21702,6351,6415,604,TUTI,15,-50,-50,-50,2016
21713,8070,8147,760,BAWW,15,-50,-50,-50,2016
21726,10264,10347,941,BTNW,15,-50,-50,-50,2016
21739,12310,12395,1110,OVEN,15,-50,-50,-50,2017
21761,18075,18172,1605,TUTI,15,-50,-50,-50,2019
21781,20944,21067,1828,BAWW,15,-50,-50,-50,2020
21782,20955,21078,1828,BAWW,15,-50,-50,-50,2020
21845,20087,20188,1679,HOWA,15,-50,-50,-50,2019
21853,20695,20814,1818,HOWA,15,-50,-50,-50,2020
21854,20708,20827,1823,BAWW,15,-50,-50,-50,2020
21892,15518,15608,1393,BAWW,15,-50,-50,-50,2018
21948,8119,8196,765,HOWA,15,-50,-50,-50,2016
21956,20537,20647,1806,TUTI,15,-50,-50,-50,2020
21957,20538,20648,1806,TUTI,15,-50,-50,-50,2020
22005,7645,7721,724,BTNW,5,-50,-50,-50,2016
22030,10112,10195,853,TUTI,5,-50,-50,-50,2016
22035,20673,20790,1815,BAWW,5,-50,-50,-50,2020
